,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,person:897,handbag:838,person:909,bird:877,bird:917,bird:923
person:648,0,778,1798,695,1968,2236,1470,1330,199,397,2088,869,1291,1404
person:652,778,0,2576,97,2746,3015,2248,555,584,403,2866,1223,2003,1071
person:703,1798,2576,0,2493,170,443,338,3129,1993,2184,298,1937,968,2933
handbag:723,695,97,2493,0,2662,2930,2163,635,506,339,2781,1129,1907,1037
person:778,1968,2746,170,2662,0,274,503,3298,2163,2354,133,2083,1086,3087
person:675,2236,3015,443,2930,274,0,767,3565,2432,2625,148,2308,1280,3322
person:803,1470,2248,338,2163,503,767,0,2798,1666,1860,618,1610,700,2598
person:811,1330,555,3129,635,3298,3565,2798,0,1139,957,3417,1623,2513,1072
person:897,199,584,1993,506,2163,2432,1666,1139,0,198,2284,948,1481,1318
handbag:838,397,403,2184,339,2354,2625,1860,957,198,0,2476,1070,1676,1274
person:909,2088,2866,298,2781,133,148,618,3417,2284,2476,0,2170,1151,3181
bird:877,869,1223,1937,1129,2083,2308,1610,1623,948,1070,2170,0,1054,1025
bird:917,1291,2003,968,1907,1086,1280,700,2513,1481,1676,1151,1054,0,2079
bird:923,1404,1071,2933,1037,3087,3322,2598,1072,1318,1274,3181,1025,2079,0
