,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,person:897,handbag:838,person:909,bird:877,bird:917,bird:923,bird:922
person:648,0,765,1789,673,1946,2223,1465,1340,199,380,2089,900,1172,1517,737
person:652,765,0,2554,110,2711,2988,2230,578,568,406,2854,1111,1858,1116,1395
person:703,1789,2554,0,2462,157,438,333,3130,1986,2159,305,2112,1068,3070,1369
handbag:723,673,110,2462,0,2618,2894,2136,668,482,336,2760,1009,1749,1091,1286
person:778,1946,2711,157,2618,0,280,485,3287,2143,2316,150,2248,1185,3213,1509
person:675,2223,2988,438,2894,280,0,758,3563,2421,2595,134,2488,1400,3461,1759
person:803,1465,2230,333,2136,485,758,0,2804,1663,1838,624,1788,786,2741,1042
person:811,1340,578,3130,668,3287,3563,2804,0,1146,983,3428,1482,2385,1036,1923
person:897,199,568,1986,482,2143,2421,1663,1146,0,181,2286,931,1357,1410,909
handbag:838,380,406,2159,336,2316,2595,1838,983,181,0,2460,1020,1536,1360,1084
person:909,2089,2854,305,2760,150,134,624,3428,2286,2460,0,2361,1280,3332,1629
bird:877,900,1111,2112,1009,2248,2488,1788,1482,931,1020,2361,0,1106,984,747
bird:917,1172,1858,1068,1749,1185,1400,786,2385,1357,1536,1280,1106,0,2090,463
bird:923,1517,1116,3070,1091,3213,3461,2741,1036,1410,1360,3332,984,2090,0,1703
bird:922,737,1395,1369,1286,1509,1759,1042,1923,909,1084,1629,747,463,1703,0
