,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,person:897,handbag:838,person:909,bird:917,kite:923
person:648,0,728,1779,632,1936,2207,1473,1357,194,371,2090,1076,1685
person:652,728,0,2508,102,2665,2936,2201,630,539,381,2818,1702,1272
person:703,1779,2508,0,2411,157,432,317,3137,1970,2139,319,1195,3221
handbag:723,632,102,2411,0,2568,2839,2104,725,445,298,2721,1600,1283
person:778,1936,2665,157,2568,0,274,467,3293,2127,2296,163,1313,3359
person:675,2207,2936,432,2839,274,0,735,3563,2399,2569,119,1532,3602
person:803,1473,2201,317,2104,467,735,0,2828,1665,1837,617,909,2906
person:811,1357,630,3137,725,3293,3563,2828,0,1169,1009,3445,2269,1120
person:897,194,539,1970,445,2127,2399,1665,1169,0,178,2281,1249,1581
handbag:838,371,381,2139,298,2296,2569,1837,1009,178,0,2452,1421,1527
person:909,2090,2818,319,2721,163,119,617,3445,2281,2452,0,1418,3485
bird:917,1076,1702,1195,1600,1313,1532,909,2269,1249,1421,1418,0,2090
kite:923,1685,1272,3221,1283,3359,3602,2906,1120,1581,1527,3485,2090,0
