,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,person:897,handbag:838,person:909,bird:917,kite:923,bird:929,bird:877
person:648,0,702,1761,597,1934,2196,1471,1368,203,353,2102,1030,1741,597,1078
person:652,702,0,2463,109,2636,2897,2173,668,502,367,2804,1599,1310,1131,961
person:703,1761,2463,0,2358,173,439,299,3129,1961,2105,347,1295,3275,1551,2479
handbag:723,597,109,2358,0,2531,2792,2067,771,401,276,2698,1492,1334,1023,916
person:778,1934,2636,173,2531,0,269,469,3302,2134,2278,181,1437,3436,1714,2638
person:675,2196,2897,439,2792,269,0,724,3562,2397,2542,93,1636,3662,1947,2862
person:803,1471,2173,299,2067,469,724,0,2837,1673,1819,630,1022,2978,1253,2182
person:811,1368,668,3129,771,3302,3562,2837,0,1171,1034,3468,2188,1105,1730,1216
person:897,203,502,1961,401,2134,2397,1673,1171,0,150,2303,1201,1625,746,1031
handbag:838,353,367,2105,276,2278,2542,1819,1034,150,0,2448,1341,1569,880,1041
person:909,2102,2804,347,2698,181,93,630,3468,2303,2448,0,1550,3572,1855,2772
bird:917,1030,1599,1295,1492,1437,1636,1022,2188,1201,1341,1550,0,2050,468,1253
kite:923,1741,1310,3275,1334,3436,3662,2978,1105,1625,1569,3572,2050,0,1725,800
bird:929,597,1131,1551,1023,1714,1947,1253,1730,746,880,1855,468,1725,0,932
bird:877,1078,961,2479,916,2638,2862,2182,1216,1031,1041,2772,1253,800,932,0
