,person:648,person:652,person:703,handbag:723,person:778,person:803,person:811,person:897,handbag:838,person:909,bird:923,bird:877,bird:922
person:648,0,665,1693,565,1910,1456,1374,201,338,2087,1951,1307,609
person:652,665,0,2358,121,2575,2121,710,467,342,2752,1499,1014,1021
person:703,1693,2358,0,2256,219,254,3067,1892,2024,403,3439,2734,1635
handbag:723,565,121,2256,0,2472,2017,811,375,269,2648,1508,975,900
person:778,1910,2575,219,2472,0,458,3283,2109,2242,185,3631,2925,1828
person:803,1456,2121,254,2017,458,0,2828,1656,1791,631,3184,2479,1380
person:811,1374,710,3067,811,3283,2828,0,1178,1051,3459,1185,1075,1632
person:897,201,467,1892,375,2109,1656,1178,0,138,2287,1824,1214,718
handbag:838,338,342,2024,269,2242,1791,1051,138,0,2421,1763,1188,828
person:909,2087,2752,403,2648,185,631,3459,2287,2421,0,3779,3074,1980
bird:923,1951,1499,3439,1508,3631,3184,1185,1824,1763,3779,0,705,1804
bird:877,1307,1014,2734,975,2925,2479,1075,1214,1188,3074,705,0,1099
bird:922,609,1021,1635,900,1828,1380,1632,718,828,1980,1804,1099,0
