,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:73,bird:88,kite:114,bird:71,bird:76
person:1,0,873,2549,1919,1420,2231,2974,3421,950,1247,2979,1472
person:2,873,0,1680,1057,549,1361,2104,2555,1339,1255,2193,809
person:3,2549,1680,0,632,1131,319,425,876,2710,2318,922,1321
person:4,1919,1057,632,0,512,322,1057,1501,2107,1760,1236,762
person:5,1420,549,1131,512,0,812,1554,2006,1733,1487,1705,632
person:9,2231,1361,319,322,812,0,743,1195,2425,2060,1089,1058
person:66,2974,2104,425,1057,1554,743,0,459,3117,2704,897,1720
person:73,3421,2555,876,1501,2006,1195,459,0,3515,3074,965,2117
bird:88,950,1339,2710,2107,1733,2425,3117,3515,0,545,2839,1399
kite:114,1247,1255,2318,1760,1487,2060,2704,3074,545,0,2337,1002
bird:71,2979,2193,922,1236,1705,1089,897,965,2839,2337,0,1521
bird:76,1472,809,1321,762,632,1058,1720,2117,1399,1002,1521,0
