,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:73,bird:88,bird:114,bird:71,person:119
person:1,0,873,2525,1908,1436,2223,2958,3422,911,1191,2918,3214
person:2,873,0,1656,1044,564,1353,2088,2555,1391,1206,2131,2347
person:3,2525,1656,0,622,1091,303,433,900,2800,2294,902,692
person:4,1908,1044,622,0,487,330,1054,1514,2198,1733,1189,1306
person:5,1436,564,1091,487,0,788,1523,1991,1833,1472,1636,1783
person:9,2223,1353,303,330,788,0,735,1204,2527,2049,1057,996
person:66,2958,2088,433,1054,1523,735,0,477,3217,2690,896,273
person:73,3422,2555,900,1514,1991,1204,477,0,3634,3077,989,208
bird:88,911,1391,2800,2198,1833,2527,3217,3634,0,651,2913,3437
bird:114,1191,1206,2294,1733,1472,2049,2690,3077,651,0,2296,2888
bird:71,2918,2131,902,1189,1636,1057,896,989,2913,2296,0,888
person:119,3214,2347,692,1306,1783,996,273,208,3437,2888,888,0
