,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:73,bird:88,bird:114,person:119,bird:79
person:1,0,874,2522,1900,1442,2220,2956,3421,965,1222,3213,1058
person:2,874,0,1653,1037,570,1349,2085,2554,1469,1223,2346,719
person:3,2522,1653,0,626,1082,304,433,902,2870,2278,694,1803
person:4,1900,1037,626,0,473,335,1059,1521,2265,1719,1313,1209
person:5,1442,570,1082,473,0,778,1515,1984,1914,1476,1776,926
person:9,2220,1349,304,335,778,0,736,1207,2599,2037,999,1539
person:66,2956,2085,433,1059,1515,736,0,476,3287,2672,274,2217
person:73,3421,2554,902,1521,1984,1207,476,0,3707,3062,208,2640
bird:88,965,1469,2870,2265,1914,2599,3287,3707,0,731,3507,1069
bird:114,1222,1223,2278,1719,1476,2037,2672,3062,731,0,2870,551
person:119,3213,2346,694,1313,1776,999,274,208,3507,2870,0,2438
bird:79,1058,719,1803,1209,926,1539,2217,2640,1069,551,2438,0
