,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:73,bird:88,bird:114,person:119,bird:79,bird:97
person:1,0,875,2518,1891,1449,2218,2949,3418,1005,1206,3214,1023,2498
person:2,875,0,1647,1027,576,1346,2077,2550,1535,1201,2346,735,1723
person:3,2518,1647,0,630,1071,302,431,903,2932,2253,700,1852,771
person:4,1891,1027,630,0,458,341,1061,1527,2325,1691,1323,1254,852
person:5,1449,576,1071,458,0,769,1501,1974,1987,1456,1770,975,1240
person:9,2218,1346,302,341,769,0,731,1206,2665,2015,1002,1590,811
person:66,2949,2077,431,1061,1501,731,0,480,3347,2646,282,2265,962
person:73,3418,2550,903,1527,1974,1206,480,0,3770,3042,204,2691,1233
bird:88,1005,1535,2932,2325,1987,2665,3347,3770,0,795,3574,1082,2637
bird:114,1206,1201,2253,1691,1456,2015,2646,3042,795,0,2852,489,1867
person:119,3214,2346,700,1323,1770,1002,282,204,3574,2852,0,2494,1073
bird:79,1023,735,1852,1254,975,1590,2265,2691,1082,489,2494,0,1597
bird:97,2498,1723,771,852,1240,811,962,1233,2637,1867,1073,1597,0
