,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:73,bird:88,bird:114,person:119,bird:79,kite:97
person:1,0,874,2505,1871,1450,2214,2947,3416,1055,1171,3216,974,2454
person:2,874,0,1636,1009,579,1344,2077,2549,1600,1175,2349,738,1685
person:3,2505,1636,0,638,1057,293,441,913,2985,2239,713,1891,779
person:4,1871,1009,638,0,437,357,1079,1544,2372,1667,1344,1283,838
person:5,1450,579,1057,437,0,764,1498,1970,2054,1441,1771,1010,1205
person:9,2214,1344,293,357,764,0,733,1207,2727,2005,1007,1635,805
person:66,2947,2077,441,1079,1498,733,0,479,3409,2644,285,2316,989
person:73,3416,2549,913,1544,1970,1207,479,0,3831,3043,200,2744,1272
bird:88,1055,1600,2985,2372,2054,2727,3409,3831,0,830,3639,1094,2649
bird:114,1171,1175,2239,1667,1441,2005,2644,3043,830,0,2856,447,1830
person:119,3216,2349,713,1344,1771,1007,285,200,3639,2856,0,2549,1111
bird:79,974,738,1891,1283,1010,1635,2316,2744,1094,447,2549,0,1609
kite:97,2454,1685,779,838,1205,805,989,1272,2649,1830,1111,1609,0
