,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:73,bird:114,person:119,bird:76
person:1,0,873,2498,1854,1449,2211,2940,3416,1122,3220,1592
person:2,873,0,1630,993,578,1341,2071,2550,1136,2354,891
person:3,2498,1630,0,647,1051,289,442,920,2226,725,1155
person:4,1854,993,647,0,422,370,1089,1561,1640,1366,622
person:5,1449,578,1051,422,0,763,1492,1972,1418,1776,627
person:9,2211,1341,289,370,763,0,729,1210,1993,1015,940
person:66,2940,2071,442,1089,1492,729,0,487,2636,296,1564
person:73,3416,2550,920,1561,1972,1210,487,0,3044,195,1982
bird:114,1122,1136,2226,1640,1418,1993,2636,3044,0,2862,1073
person:119,3220,2354,725,1366,1776,1015,296,195,2862,0,1796
bird:76,1592,891,1155,622,627,940,1564,1982,1073,1796,0
