,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:73,bird:114,person:119,bird:125,bird:126,bird:128
person:1,0,872,2492,1837,1450,2207,2932,3415,1067,3220,1502,834,2561
person:2,872,0,1625,977,580,1338,2064,2550,1086,2355,932,695,1797
person:3,2492,1625,0,660,1045,288,440,925,2209,730,1406,1967,825
person:4,1837,977,660,0,407,384,1099,1578,1603,1383,868,1326,960
person:5,1450,580,1045,407,0,758,1483,1970,1388,1775,826,1051,1318
person:9,2207,1338,288,384,758,0,725,1213,1972,1019,1198,1708,887
person:66,2932,2064,440,1099,1483,725,0,494,2621,304,1803,2397,985
person:73,3415,2550,925,1578,1970,1213,494,0,3041,195,2213,2846,1232
bird:114,1067,1086,2209,1603,1388,1972,2621,3041,0,2857,829,392,1933
person:119,3220,2355,730,1383,1775,1019,304,195,2857,0,2030,2655,1087
bird:125,1502,932,1406,868,826,1198,1803,2213,829,2030,0,716,1125
bird:126,834,695,1967,1326,1051,1708,2397,2846,392,2655,716,0,1833
bird:128,2561,1797,825,960,1318,887,985,1232,1933,1087,1125,1833,0
