,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:73,person:119,bird:128,bird:129,bird:79,bird:133,bird:97
person:1,0,870,2487,1810,1455,2198,2930,3403,3221,2579,1489,828,2671,2202
person:2,870,0,1620,949,586,1330,2062,2538,2356,1807,846,867,1884,1459
person:3,2487,1620,0,680,1034,290,443,919,737,808,1298,2149,765,879
person:4,1810,949,680,0,374,399,1124,1592,1411,986,732,1498,1029,757
person:5,1455,586,1034,374,0,744,1476,1953,1771,1321,697,1254,1379,1031
person:9,2198,1330,290,399,744,0,732,1209,1028,876,1074,1890,872,814
person:66,2930,2062,443,1124,1476,732,0,485,307,959,1708,2579,867,1175
person:73,3403,2538,919,1592,1953,1209,485,0,181,1190,2119,3009,1075,1500
person:119,3221,2356,737,1411,1771,1028,307,181,0,1061,1949,2835,950,1348
bird:128,2579,1807,808,986,1321,876,959,1190,1061,0,1113,1999,119,388
bird:129,1489,846,1298,732,697,1074,1708,2119,1949,1113,0,900,1216,726
bird:79,828,867,2149,1498,1254,1890,2579,3009,2835,1999,900,0,2108,1611
bird:133,2671,1884,765,1029,1379,872,867,1075,950,119,1216,2108,0,497
bird:97,2202,1459,879,757,1031,814,1175,1500,1348,388,726,1611,497,0
