,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:73,person:119,handbag:137,kite:128
person:1,0,869,2494,1813,1442,2197,2936,3401,3222,2604,2602
person:2,869,0,1629,954,574,1331,2070,2543,2359,1736,1834
person:3,2494,1629,0,684,1055,298,441,923,731,137,812
person:4,1813,954,684,0,388,393,1125,1589,1409,802,1006
person:5,1442,574,1055,388,0,756,1495,1971,1785,1162,1352
person:9,2197,1331,298,393,756,0,738,1220,1029,409,886
person:66,2936,2070,441,1125,1495,738,0,510,301,339,952
person:73,3401,2543,923,1589,1971,1220,510,0,214,842,1104
person:119,3222,2359,731,1409,1785,1029,301,214,0,639,1049
handbag:137,2604,1736,137,802,1162,409,339,842,639,0,906
kite:128,2602,1834,812,1006,1352,886,952,1104,1049,906,0
