,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:73,person:119,handbag:137,bird:139,kite:128,bird:114
person:1,0,871,2496,1819,1444,2197,2941,3400,3224,2574,636,2585,886
person:2,871,0,1629,959,575,1329,2074,2542,2360,1705,860,1820,944
person:3,2496,1629,0,679,1054,300,445,923,731,116,2274,821,2191
person:4,1819,959,679,0,390,387,1124,1583,1405,767,1609,996,1550
person:5,1444,575,1054,390,0,754,1498,1969,1785,1130,1307,1337,1295
person:9,2197,1329,300,387,754,0,744,1222,1032,380,1994,888,1926
person:66,2941,2074,445,1124,1498,744,0,510,298,374,2711,970,2618
person:73,3400,2542,923,1583,1969,1222,510,0,220,875,3120,1118,3000
person:119,3224,2360,731,1405,1785,1032,298,220,0,670,2970,1071,2864
handbag:137,2574,1705,116,767,1130,380,374,875,670,0,2371,916,2294
bird:139,636,860,2274,1609,1307,1994,2711,3120,2970,2371,0,2174,252
kite:128,2585,1820,821,996,1337,888,970,1118,1071,916,2174,0,2009
bird:114,886,944,2191,1550,1295,1926,2618,3000,2864,2294,252,2009,0
