,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:73,person:119,handbag:137,bird:114
person:1,0,870,2475,1815,1442,2194,2939,3395,3224,2641,824
person:2,870,0,1609,955,574,1328,2073,2538,2361,1772,906
person:3,2475,1609,0,662,1035,282,464,939,752,187,2177
person:4,1815,955,662,0,389,387,1126,1583,1409,836,1546
person:5,1442,574,1035,389,0,753,1499,1967,1787,1198,1283
person:9,2194,1328,282,387,753,0,745,1219,1034,449,1924
person:66,2939,2073,464,1126,1499,745,0,503,296,311,2622
person:73,3395,2538,939,1583,1967,1219,503,0,218,811,3010
person:119,3224,2361,752,1409,1787,1034,296,218,0,607,2876
handbag:137,2641,1772,187,836,1198,449,311,811,607,0,2362
bird:114,824,906,2177,1546,1283,1924,2622,3010,2876,2362,0
