,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:73,person:119,handbag:137,bird:114,bird:79,bird:97
person:1,0,871,2482,1815,1441,2194,2940,3393,3222,2648,795,690,1892
person:2,871,0,1616,955,572,1327,2074,2536,2359,1778,890,1061,1212
person:3,2482,1616,0,669,1044,289,457,930,743,187,2186,2455,1089
person:4,1815,955,669,0,391,386,1126,1580,1406,842,1546,1806,740
person:5,1441,572,1044,391,0,755,1501,1967,1787,1206,1277,1513,892
person:9,2194,1327,289,386,755,0,746,1217,1032,456,1925,2188,936
person:66,2940,2074,457,1126,1501,746,0,498,292,307,2625,2898,1446
person:73,3393,2536,930,1580,1967,1217,498,0,216,803,3016,3295,1755
person:119,3222,2359,743,1406,1787,1032,292,216,0,600,2880,3156,1654
handbag:137,2648,1778,187,842,1206,456,307,803,600,0,2371,2638,1270
bird:114,795,890,2186,1546,1277,1925,2625,3016,2880,2371,0,282,1321
bird:79,690,1061,2455,1806,1513,2188,2898,3295,3156,2638,282,0,1603
bird:97,1892,1212,1089,740,892,936,1446,1755,1654,1270,1321,1603,0
