,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:73,person:119,handbag:137,bird:151,bird:154
person:1,0,873,2475,1801,1444,2194,2941,3391,3217,2650,2701,1393
person:2,873,0,1608,940,573,1325,2072,2533,2352,1779,1916,741
person:3,2475,1608,0,676,1035,283,465,934,744,199,757,1297
person:4,1801,940,676,0,376,399,1141,1593,1416,859,1062,704
person:5,1444,573,1035,376,0,752,1499,1963,1780,1206,1414,618
person:9,2194,1325,283,399,752,0,747,1215,1028,460,874,1061
person:66,2941,2072,465,1141,1499,747,0,498,289,304,835,1737
person:73,3391,2533,934,1593,1963,1215,498,0,217,799,953,2118
person:119,3217,2352,744,1416,1780,1028,289,217,0,594,915,1979
handbag:137,2650,1779,199,859,1206,460,304,799,594,0,847,1496
bird:151,2701,1916,757,1062,1414,874,835,953,915,847,0,1324
bird:154,1393,741,1297,704,618,1061,1737,2118,1979,1496,1324,0
