,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:73,person:119,handbag:137,bird:151,bird:160,bird:97,bird:87
person:1,0,874,2473,1780,1446,2195,2935,3391,3214,2646,2687,1065,1653,917
person:2,874,0,1604,917,573,1325,2065,2531,2347,1774,1904,744,1047,1037
person:3,2473,1604,0,695,1031,279,461,935,743,197,776,1768,1293,2253
person:4,1780,917,695,0,354,421,1157,1613,1434,877,1073,1127,813,1605
person:5,1446,573,1031,354,0,752,1491,1960,1774,1200,1407,953,860,1395
person:9,2195,1325,279,421,752,0,740,1212,1022,456,876,1523,1101,2006
person:66,2935,2065,461,1157,1491,740,0,501,290,303,857,2206,1686,2690
person:73,3391,2531,935,1613,1960,1212,501,0,219,802,982,2590,2018,3068
person:119,3214,2347,743,1434,1774,1022,290,219,0,594,942,2451,1902,2933
handbag:137,2646,1774,197,877,1200,456,303,802,594,0,870,1964,1489,2449
bird:151,2687,1904,776,1073,1407,876,857,982,942,870,0,1744,1124,2196
bird:160,1065,744,1768,1127,953,1523,2206,2590,2451,1964,1744,0,630,485
bird:97,1653,1047,1293,813,860,1101,1686,2018,1902,1489,1124,630,0,1072
bird:87,917,1037,2253,1605,1395,2006,2690,3068,2933,2449,2196,485,1072,0
