,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:73,person:119,handbag:137,bird:151,bird:161,person:164,bird:87,bird:168,bird:125,bird:79
person:1,0,874,2476,1755,1449,2194,2927,3390,3214,2642,2679,2472,2665,873,1273,1513,653
person:2,874,0,1607,893,576,1324,2057,2529,2347,1769,1886,1724,1827,1100,720,962,1307
person:3,2476,1607,0,723,1031,283,450,931,740,191,721,871,424,2369,1474,1418,2784
person:4,1755,893,723,0,330,444,1174,1637,1458,898,1059,983,945,1688,829,864,2071
person:5,1449,576,1031,330,0,748,1481,1957,1771,1193,1379,1272,1275,1493,736,867,1819
person:9,2194,1324,283,444,748,0,733,1212,1023,454,827,882,603,2113,1229,1204,2513
person:66,2927,2057,450,1174,1481,733,0,506,296,301,799,1056,495,2797,1898,1814,3227
person:73,3390,2529,931,1637,1957,1212,506,0,221,806,945,1244,769,3186,2289,2166,3646
person:119,3214,2347,740,1458,1771,1023,296,221,0,597,900,1190,661,3051,2150,2046,3495
handbag:137,2642,1769,191,898,1193,454,301,806,597,0,815,1009,493,2558,1664,1610,2966
bird:151,2679,1886,721,1059,1379,827,799,945,900,815,0,299,324,2326,1460,1289,2825
bird:161,2472,1724,871,983,1272,882,1056,1244,1190,1009,299,0,561,2059,1221,1026,2571
person:164,2665,1827,424,945,1275,603,495,769,661,493,324,561,0,2417,1522,1396,2884
bird:87,873,1100,2369,1688,1493,2113,2797,3186,3051,2558,2326,2059,2417,0,900,1036,548
bird:168,1273,720,1474,829,736,1229,1898,2289,2150,1664,1460,1221,1522,900,0,254,1367
bird:125,1513,962,1418,864,867,1204,1814,2166,2046,1610,1289,1026,1396,1036,254,0,1545
bird:79,653,1307,2784,2071,1819,2513,3227,3646,3495,2966,2825,2571,2884,548,1367,1545,0
