,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:73,person:119,handbag:137,bird:151,bird:161,person:164,bird:160,bird:97
person:1,0,875,2463,1718,1446,2196,2924,3389,3219,2636,2670,2422,2661,971,1481
person:2,875,0,1593,856,572,1326,2054,2528,2351,1763,1882,1666,1823,865,977
person:3,2463,1593,0,748,1020,266,461,945,759,196,754,825,434,1990,1491
person:4,1718,856,748,0,301,484,1209,1672,1501,931,1089,936,974,1295,914
person:5,1446,572,1020,301,0,754,1481,1959,1779,1191,1384,1211,1275,1161,926
person:9,2196,1326,266,484,754,0,727,1207,1025,446,840,819,596,1750,1285
person:66,2924,2054,461,1209,1481,727,0,510,304,303,833,1031,499,2425,1893
person:73,3389,2528,945,1672,1959,1207,510,0,220,811,972,1242,771,2812,2240
person:119,3219,2351,759,1501,1779,1025,304,220,0,607,938,1185,671,2685,2131
handbag:137,2636,1763,196,931,1191,446,303,811,607,0,845,966,494,2185,1687
bird:151,2670,1882,754,1089,1384,840,833,972,938,845,0,284,353,1944,1340
bird:161,2422,1666,825,936,1211,819,1031,1242,1185,966,284,0,533,1666,1059
person:164,2661,1823,434,974,1275,596,499,771,671,494,353,533,0,2041,1470
bird:160,971,865,1990,1295,1161,1750,2425,2812,2685,2185,1944,1666,2041,0,612
bird:97,1481,977,1491,914,926,1285,1893,2240,2131,1687,1340,1059,1470,612,0
