,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:73,person:119,handbag:137,bird:151,person:164,bird:160,bird:97,bird:177
person:1,0,878,2459,1653,1442,2204,2919,3393,3237,2622,2636,2665,930,1374,1123
person:2,878,0,1587,795,566,1331,2046,2529,2366,1746,1853,1822,954,946,739
person:3,2459,1587,0,814,1020,255,459,952,779,188,776,422,2126,1612,1685
person:4,1653,795,814,0,265,562,1272,1739,1585,988,1103,1027,1357,937,932
person:5,1442,566,1020,265,0,765,1479,1966,1800,1179,1368,1278,1285,977,901
person:9,2204,1331,255,562,765,0,715,1203,1034,426,841,582,1894,1403,1455
person:66,2919,2046,459,1272,1479,715,0,519,324,313,874,479,2560,2020,2117
person:73,3393,2529,952,1739,1966,1203,519,0,215,830,1025,765,2954,2382,2514
person:119,3237,2366,779,1585,1800,1034,324,215,0,637,1004,676,2843,2285,2400
handbag:137,2622,1746,188,988,1179,426,313,830,637,0,877,482,2312,1800,1871
bird:151,2636,1853,776,1103,1368,841,874,1025,1004,877,0,407,2034,1436,1615
person:164,2665,1822,422,1027,1278,582,479,765,676,482,407,0,2189,1618,1750
bird:160,930,954,2126,1357,1285,1894,2560,2954,2843,2312,2034,2189,0,601,443
bird:97,1374,946,1612,937,977,1403,2020,2382,2285,1800,1436,1618,601,0,254
bird:177,1123,739,1685,932,901,1455,2117,2514,2400,1871,1615,1750,443,254,0
