,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:73,person:119,handbag:137,person:164,bird:160,bird:97,bird:177
person:1,0,888,2461,1609,1441,2211,2900,3398,3256,2636,2657,901,1334,1121
person:2,888,0,1578,736,555,1329,2016,2520,2375,1749,1808,1074,1028,845
person:3,2461,1578,0,855,1023,250,438,944,797,197,441,2292,1792,1809
person:4,1609,736,855,0,211,606,1293,1789,1647,1038,1075,1497,1108,1053
person:5,1441,555,1023,211,0,774,1461,1966,1820,1194,1277,1434,1129,1034
person:9,2211,1329,250,606,774,0,688,1191,1046,434,578,2059,1581,1583
person:66,2900,2016,438,1293,1461,688,0,514,363,282,491,2705,2176,2214
person:73,3398,2520,944,1789,1966,1191,514,0,154,797,815,3146,2584,2649
person:119,3256,2375,797,1647,1820,1046,363,154,0,644,712,3025,2474,2530
handbag:137,2636,1749,197,1038,1194,434,282,797,644,0,504,2488,1989,2006
person:164,2657,1808,441,1075,1277,578,491,815,712,504,0,2338,1769,1839
bird:160,901,1074,2292,1497,1434,2059,2705,3146,3025,2488,2338,0,621,498
bird:97,1334,1028,1792,1108,1129,1581,2176,2584,2474,1989,1769,621,0,219
bird:177,1121,845,1809,1053,1034,1583,2214,2649,2530,2006,1839,498,219,0
