,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:73,person:119,handbag:137,person:164,bird:160,bird:97,bird:177,bird:151
person:1,0,899,2476,1607,1439,2223,2896,3412,3276,2662,2656,866,1256,1110,2558
person:2,899,0,1581,725,541,1329,2001,2522,2383,1764,1799,1144,1037,904,1762
person:3,2476,1581,0,872,1040,253,420,942,802,205,458,2412,1913,1902,774
person:4,1607,725,872,0,216,619,1291,1805,1668,1066,1077,1589,1184,1128,1089
person:5,1439,541,1040,216,0,788,1460,1982,1842,1223,1284,1521,1193,1111,1305
person:9,2223,1329,253,619,788,0,673,1193,1054,448,584,2174,1695,1674,796
person:66,2896,2001,420,1291,1460,673,0,528,385,252,512,2809,2286,2288,896
person:73,3412,2522,942,1805,1982,1193,528,0,144,779,849,3275,2723,2743,1170
person:119,3276,2383,802,1668,1842,1054,385,144,0,634,749,3155,2612,2626,1092
handbag:137,2662,1764,205,1066,1223,448,252,779,634,0,526,2617,2119,2108,891
person:164,2656,1799,458,1077,1284,584,512,849,749,526,0,2439,1876,1902,384
bird:160,866,1144,2412,1589,1521,2174,2809,3275,3155,2617,2439,0,613,541,2224
bird:97,1256,1037,1913,1184,1193,1695,2286,2723,2612,2119,1876,613,0,153,1631
bird:177,1110,904,1902,1128,1111,1674,2288,2743,2626,2108,1902,541,153,0,1683
bird:151,2558,1762,774,1089,1305,796,896,1170,1092,891,384,2224,1631,1683,0
