,person:1,person:2,person:3,person:4,person:5,person:6,person:9,bird:12,bird:45,bird:15,bird:7,bird:14
person:1,0,842,2959,2145,1274,3340,2393,982,1481,2060,1384,1247
person:2,842,0,2120,1314,434,2500,1556,1111,876,1385,1857,685
person:3,2959,2120,0,823,1686,381,568,2781,1763,1382,3597,1928
person:4,2145,1314,823,0,883,1204,257,1983,988,795,2806,1124
person:5,1274,434,1686,883,0,2066,1123,1354,717,1089,2158,634
person:6,3340,2500,381,1204,2066,0,949,3151,2129,1711,3962,2302
person:9,2393,1556,568,257,1123,949,0,2237,1233,962,3058,1378
bird:12,982,1111,2781,1983,1354,3151,2237,0,1023,1539,825,858
bird:45,1481,876,1763,988,717,2129,1233,1023,0,581,1834,234
bird:15,2060,1385,1382,795,1089,1711,962,1539,581,0,2306,814
bird:7,1384,1857,3597,2806,2158,3962,3058,825,1834,2306,0,1683
bird:14,1247,685,1928,1124,634,2302,1378,858,234,814,1683,0
