,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:73,person:119,handbag:137,person:164,bird:160,bird:177,bird:185,bird:125,bird:97
person:1,0,903,2465,1568,1412,2224,2871,3423,3304,2680,2650,801,1045,2150,1519,1245
person:2,903,0,1567,675,511,1327,1972,2528,2408,1779,1789,1301,986,1442,960,1236
person:3,2465,1567,0,897,1055,241,405,961,841,232,457,2650,2060,1053,1419,2204
person:4,1568,675,897,0,173,656,1302,1855,1736,1116,1125,1807,1287,973,827,1485
person:5,1412,511,1055,173,0,816,1461,2017,1897,1268,1298,1701,1226,1107,860,1441
person:9,2224,1327,241,656,816,0,646,1200,1081,466,573,2417,1837,945,1219,1993
person:66,2871,1972,405,1302,1461,646,0,558,438,215,496,3038,2432,1297,1766,2560
person:73,3423,2528,961,1855,2017,1200,558,0,120,766,873,3554,2929,1689,2242,3035
person:119,3304,2408,841,1736,1897,1081,438,120,0,646,774,3442,2821,1596,2136,2931
handbag:137,2680,1779,232,1116,1268,466,215,766,646,0,527,2882,2292,1246,1647,2435
person:164,2650,1789,457,1125,1298,573,496,873,774,527,0,2702,2066,826,1372,2163
bird:160,801,1301,2650,1807,1701,2417,3038,3554,3442,2882,2702,0,658,2010,1354,697
bird:177,1045,986,2060,1287,1226,1837,2432,2929,2821,2292,2066,658,0,1352,701,253
bird:185,2150,1442,1053,973,1107,945,1297,1689,1596,1246,826,2010,1352,0,663,1397
bird:125,1519,960,1419,827,860,1219,1766,2242,2136,1647,1372,1354,701,663,0,795
bird:97,1245,1236,2204,1485,1441,1993,2560,3035,2931,2435,2163,697,253,1397,795,0
