,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:119,handbag:137,person:164,bird:160,bird:177,bird:125,bird:97,bird:190
person:1,0,905,2476,1560,1401,2224,2832,3327,2678,2654,851,949,1467,1211,2109
person:2,905,0,1575,658,497,1324,1931,2428,1774,1787,1430,961,971,1291,1292
person:3,2476,1575,0,916,1077,252,356,853,221,436,2807,2123,1537,2329,692
person:4,1560,658,916,0,161,665,1272,1769,1118,1152,1967,1344,959,1618,748
person:5,1401,497,1077,161,0,826,1433,1931,1277,1309,1834,1237,930,1527,873
person:9,2224,1324,252,665,826,0,608,1104,465,564,2564,1887,1327,2106,557
person:66,2832,1931,356,1272,1433,608,0,499,184,454,3147,2454,1840,2643,953
person:119,3327,2428,853,1769,1931,1104,499,0,671,776,3611,2907,2264,3072,1364
handbag:137,2678,1774,221,1118,1277,465,184,671,0,506,3027,2344,1756,2550,896
person:164,2654,1787,436,1152,1309,564,454,776,506,0,2860,2149,1493,2299,596
bird:160,851,1430,2807,1967,1834,2564,3147,3611,3027,2860,0,717,1403,712,2265
bird:177,949,961,2123,1344,1237,1887,2454,2907,2344,2149,717,0,688,335,1552
bird:125,1467,971,1537,959,930,1327,1840,2264,1756,1493,1403,688,0,807,900
bird:97,1211,1291,2329,1618,1527,2106,2643,3072,2550,2299,712,335,807,0,1707
bird:190,2109,1292,692,748,873,557,953,1364,896,596,2265,1552,900,1707,0
