,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:119,backpack:137,person:164,bird:160,bird:177,bird:125,bird:97
person:1,0,907,2481,1551,1389,2223,2831,3338,2657,2654,833,939,1419,1175
person:2,907,0,1578,645,484,1321,1928,2437,1751,1784,1463,988,962,1312
person:3,2481,1578,0,933,1094,257,350,860,195,431,2869,2167,1602,2397
person:4,1551,645,933,0,162,678,1283,1794,1106,1174,2019,1393,1021,1681
person:5,1389,484,1094,162,0,837,1444,1954,1268,1318,1867,1263,952,1560
person:9,2223,1321,257,678,837,0,607,1116,443,561,2619,1926,1385,2167
person:66,2831,1928,350,1283,1444,607,0,512,198,452,3206,2493,1904,2709
person:119,3338,2437,860,1794,1954,1116,512,0,702,784,3684,2957,2341,3152
backpack:137,2657,1751,195,1106,1268,443,198,702,0,496,3062,2363,1797,2593
person:164,2654,1784,431,1174,1318,561,452,784,496,0,2926,2189,1561,2371
bird:160,833,1463,2869,2019,1867,2619,3206,3684,3062,2926,0,751,1410,721
bird:177,939,988,2167,1393,1263,1926,2493,2957,2363,2189,751,0,659,325
bird:125,1419,962,1602,1021,952,1385,1904,2341,1797,1561,1410,659,0,810
bird:97,1175,1312,2397,1681,1560,2167,2709,3152,2593,2371,721,325,810,0
