,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:119,backpack:137,person:164,bird:177,bird:125,bird:97
person:1,0,910,2493,1563,1382,2221,2817,3346,2662,2650,958,1367,1147
person:2,910,0,1588,655,474,1318,1912,2444,1754,1779,1043,935,1336
person:3,2493,1588,0,933,1113,271,324,856,188,426,2229,1649,2465
person:4,1563,655,933,0,181,664,1257,1790,1099,1159,1458,1035,1733
person:5,1382,474,1113,181,0,843,1437,1969,1280,1321,1313,949,1595
person:9,2221,1318,271,664,843,0,596,1126,450,560,1976,1415,2219
person:66,2817,1912,324,1257,1437,596,0,534,180,449,2530,1932,2756
person:119,3346,2444,856,1790,1969,1126,534,0,705,795,3011,2392,3220
backpack:137,2662,1754,188,1099,1280,450,180,705,0,495,2417,1837,2653
person:164,2650,1779,426,1159,1321,560,449,795,495,0,2229,1602,2429
bird:177,958,1043,2229,1458,1313,1976,2530,3011,2417,2229,0,641,292
bird:125,1367,935,1649,1035,949,1415,1932,2392,1837,1602,641,0,827
bird:97,1147,1336,2465,1733,1595,2219,2756,3220,2653,2429,292,827,0
