,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:119,backpack:137,person:164,bird:177,bird:125,bird:97,bird:195,bird:186
person:1,0,912,2492,1597,1375,2222,2804,3352,2646,2646,962,1316,1145,1949,1317
person:2,912,0,1585,685,466,1316,1896,2448,1735,1774,1083,913,1386,1259,698
person:3,2492,1585,0,904,1119,270,311,863,173,429,2272,1687,2538,1137,1416
person:4,1597,685,904,0,224,638,1214,1767,1050,1141,1546,1090,1842,973,774
person:5,1375,466,1119,224,0,850,1430,1982,1270,1324,1350,950,1651,988,642
person:9,2222,1316,270,638,850,0,581,1131,433,559,2020,1450,2292,970,1167
person:66,2804,1896,311,1214,1430,581,0,553,181,449,2561,1962,2819,1359,1705
person:119,3352,2448,863,1767,1982,1131,553,0,726,806,3060,2444,3302,1780,2211
backpack:137,2646,1735,173,1050,1270,433,181,726,0,495,2445,1860,2711,1301,1589
person:164,2646,1774,429,1141,1324,559,449,806,495,0,2267,1645,2501,975,1430
bird:177,962,1083,2272,1546,1350,2020,2561,3060,2445,2267,0,628,305,1353,856
bird:125,1316,913,1687,1090,950,1450,1962,2444,1860,1645,628,0,858,726,316
bird:97,1145,1386,2538,1842,1651,2292,2819,3302,2711,2501,305,858,0,1554,1125
bird:195,1949,1259,1137,973,988,970,1359,1780,1301,975,1353,726,1554,0,632
bird:186,1317,698,1416,774,642,1167,1705,2211,1589,1430,856,316,1125,632,0
