,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:119,backpack:137,person:164,bird:177,bird:125,bird:97,bird:195,bird:201,bird:186
person:1,0,913,2498,1609,1369,2219,2803,3357,2646,2642,947,1292,1145,1933,2528,1295
person:2,913,0,1589,695,459,1312,1894,2451,1734,1771,1104,917,1436,1257,1713,693
person:3,2498,1589,0,899,1130,278,305,862,167,439,2315,1730,2615,1180,737,1450
person:4,1609,695,899,0,243,627,1203,1762,1040,1138,1594,1135,1923,1004,1173,811
person:5,1369,459,1130,243,0,853,1435,1992,1276,1329,1377,972,1709,1003,1313,656
person:9,2219,1312,278,627,853,0,583,1138,435,566,2054,1485,2361,1005,746,1193
person:66,2803,1894,305,1203,1435,583,0,558,180,462,2598,2000,2890,1396,821,1733
person:119,3357,2451,862,1762,1992,1138,558,0,730,822,3103,2489,3381,1823,1139,2245
backpack:137,2646,1734,167,1040,1276,435,180,730,0,508,2482,1898,2783,1339,844,1617
person:164,2642,1771,439,1138,1329,566,462,822,508,0,2297,1676,2566,1001,360,1451
bird:177,947,1104,2315,1594,1377,2054,2598,3103,2482,2297,0,629,335,1363,2069,865
bird:125,1292,917,1730,1135,972,1485,2000,2489,1898,1676,629,0,892,736,1439,323
bird:97,1145,1436,2615,1923,1709,2361,2890,3381,2783,2566,335,892,0,1595,2312,1168
bird:195,1933,1257,1180,1004,1003,1005,1396,1823,1339,1001,1363,736,1595,0,717,638
bird:201,2528,1713,737,1173,1313,746,821,1139,844,360,2069,1439,2312,717,0,1266
bird:186,1295,693,1450,811,656,1193,1733,2245,1617,1451,865,323,1168,638,1266,0
