,Unnamed: 0,person1,bench3,person2,filename
0,person1,0,653,136.0,155
1,bench3,653,0,721.0,155
2,person2,136,721,0.0,155
0,person1,0,643,,141
1,bench3,643,0,,141
0,person1,0,667,112.0,169
1,bench3,667,0,729.0,169
2,person2,112,729,0.0,169
0,person1,0,790,233.0,97
1,person2,233,562,0.0,97
2,bench3,790,0,562.0,97
0,person1,0,777,261.0,83
1,person2,261,520,0.0,83
2,bench3,777,0,520.0,83
0,person1,0,739,,196
1,bench3,739,0,,196
0,person1,0,725,266.0,68
1,person2,266,466,0.0,68
2,bench3,725,0,466.0,68
0,person1,0,687,121.0,182
1,bench3,687,0,749.0,182
2,person2,121,749,0.0,182
0,person1,0,777,533.0,6
1,person2,533,244,0.0,6
2,bench3,777,0,244.0,6
0,person1,0,725,308.0,54
1,person2,308,425,0.0,54
2,bench3,725,0,425.0,54
0,person1,0,730,368.0,40
1,person2,368,366,0.0,40
2,bench3,730,0,366.0,40
0,person1,0,730,366.0,41
1,person2,366,369,0.0,41
2,bench3,730,0,369.0,41
0,person1,0,781,537.0,7
1,person2,537,243,0.0,7
2,bench3,781,0,243.0,7
0,person1,0,727,304.0,55
1,person2,304,430,0.0,55
2,bench3,727,0,430.0,55
0,person1,0,690,117.0,183
1,bench3,690,0,753.0,183
2,person2,117,753,0.0,183
0,person1,0,736,,197
1,bench3,736,0,,197
0,person1,0,724,259.0,69
1,person2,259,472,0.0,69
2,bench3,724,0,472.0,69
0,person1,0,771,258.0,82
1,person2,258,517,0.0,82
2,bench3,771,0,517.0,82
0,person1,0,667,113.0,168
1,bench3,667,0,728.0,168
2,person2,113,728,0.0,168
0,person1,0,792,243.0,96
1,person2,243,554,0.0,96
2,bench3,792,0,554.0,96
0,person1,0,648,,140
1,bench3,648,0,,140
0,person1,0,651,137.0,154
1,bench3,651,0,720.0,154
2,person2,137,720,0.0,154
0,person1,0,640,,142
1,bench3,640,0,,142
0,person1,0,656,136.0,156
1,bench3,656,0,721.0,156
2,person2,136,721,0.0,156
0,person1,0,763,258.0,80
1,person2,258,509,0.0,80
2,bench3,763,0,509.0,80
0,person1,0,795,253.0,94
1,person2,253,547,0.0,94
2,bench3,795,0,547.0,94
0,person1,0,685,130.0,181
1,bench3,685,0,745.0,181
2,person2,130,745,0.0,181
0,person1,0,740,,195
1,bench3,740,0,,195
0,person1,0,733,363.0,43
1,person2,363,374,0.0,43
2,bench3,733,0,374.0,43
0,person1,0,724,292.0,57
1,person2,292,438,0.0,57
2,bench3,724,0,438.0,57
0,person1,0,770,530.0,5
1,person2,530,239,0.0,5
2,bench3,770,0,239.0,5
0,person1,0,725,297.0,56
1,person2,297,434,0.0,56
2,bench3,725,0,434.0,56
0,person1,0,748,529.0,4
1,person2,529,219,0.0,4
2,bench3,748,0,219.0,4
0,person1,0,732,365.0,42
1,person2,365,371,0.0,42
2,bench3,732,0,371.0,42
0,person1,0,740,,194
1,bench3,740,0,,194
0,person1,0,683,135.0,180
1,bench3,683,0,743.0,180
2,person2,135,743,0.0,180
0,person1,0,794,249.0,95
1,person2,249,550,0.0,95
2,bench3,794,0,550.0,95
0,person1,0,767,258.0,81
1,person2,258,513,0.0,81
2,bench3,767,0,513.0,81
0,person1,0,657,135.0,157
1,bench3,657,0,721.0,157
2,person2,135,721,0.0,157
0,person1,0,639,,143
1,bench3,639,0,,143
0,person1,0,788,268.0,85
1,person2,268,525,0.0,85
2,bench3,788,0,525.0,85
0,person1,0,797,263.0,91
1,person2,263,541,0.0,91
2,bench3,797,0,541.0,91
0,person1,0,639,153.0,147
1,bench3,639,0,704.0,147
2,person2,153,704,0.0,147
0,person1,0,649,138.0,153
1,bench3,649,0,719.0,153
2,person2,138,719,0.0,153
0,person1,0,730,347.0,46
1,person2,347,387,0.0,46
2,bench3,730,0,387.0,46
0,person1,0,677,533.0,0
1,person2,533,146,0.0,0
2,bench3,677,0,146.0,0
0,person1,0,723,314.0,52
1,person2,314,417,0.0,52
2,bench3,723,0,417.0,52
0,person1,0,693,114.0,184
1,bench3,693,0,756.0,184
2,person2,114,756,0.0,184
0,person1,0,722,118.0,190
1,bench3,722,0,783.0,190
2,person2,118,783,0.0,190
0,person1,0,727,117.0,191
1,bench3,727,0,787.0,191
2,person2,117,787,0.0,191
0,person1,0,697,113.0,185
1,bench3,697,0,760.0,185
2,person2,113,760,0.0,185
0,person1,0,680,537.0,1
1,person2,537,145,0.0,1
2,bench3,680,0,145.0,1
0,person1,0,724,312.0,53
1,person2,312,421,0.0,53
2,bench3,724,0,421.0,53
0,person1,0,729,343.0,47
1,person2,343,391,0.0,47
2,bench3,729,0,391.0,47
0,person1,0,645,139.0,152
1,bench3,645,0,714.0,152
2,person2,139,714,0.0,152
0,person1,0,639,154.0,146
1,bench3,639,0,704.0,146
2,person2,154,704,0.0,146
0,person1,0,798,267.0,90
1,person2,267,538,0.0,90
2,bench3,798,0,538.0,90
