,Unnamed: 0,car:1,motorcycle:2,person:3,car:4,person:5,motorcycle:6,car:7,truck:4,person:4,car:8,car:10,car:13,motorcycle:10,car:15,person:8,truck:13
0,car:1,0.0,686,656,235.0,326,,,,,,,,,,,
1,motorcycle:2,686.0,0,205,915.0,384,,,,,,,,,,,
2,person:3,656.0,205,0,891.0,329,,,,,,,,,,,
3,car:4,235.0,915,891,0.0,561,,,,,,,,,,,
4,person:5,326.0,384,329,561.0,0,,,,,,,,,,,
0,car:1,0.0,685,656,240.0,327,,,,,,,,,,,
1,motorcycle:2,685.0,0,209,920.0,383,,,,,,,,,,,
2,person:3,656.0,209,0,896.0,328,,,,,,,,,,,
3,car:4,240.0,920,896,0.0,568,,,,,,,,,,,
4,person:5,327.0,383,328,568.0,0,,,,,,,,,,,
0,car:1,0.0,696,669,253.0,322,335.0,,,,,,,,,,
1,motorcycle:2,696.0,0,189,945.0,399,362.0,,,,,,,,,,
2,person:3,669.0,189,0,921.0,346,368.0,,,,,,,,,,
3,car:4,253.0,945,921,0.0,575,582.0,,,,,,,,,,
4,person:5,322.0,399,346,575.0,0,115.0,,,,,,,,,,
5,motorcycle:6,335.0,362,368,582.0,115,0.0,,,,,,,,,,
0,car:1,0.0,930,903,704.0,366,385.0,,,,,,,,,,
1,motorcycle:2,930.0,0,254,1622.0,588,545.0,,,,,,,,,,
2,person:3,903.0,254,0,1608.0,537,536.0,,,,,,,,,,
3,car:4,704.0,1622,1608,0.0,1071,1084.0,,,,,,,,,,
4,person:5,366.0,588,537,1071.0,0,95.0,,,,,,,,,,
5,motorcycle:6,385.0,545,536,1084.0,95,0.0,,,,,,,,,,
0,car:1,0.0,932,901,712.0,364,384.0,,,,,,,,,,
1,motorcycle:2,932.0,0,253,1632.0,594,548.0,,,,,,,,,,
2,person:3,901.0,253,0,1614.0,537,534.0,,,,,,,,,,
3,car:4,712.0,1632,1614,0.0,1076,1091.0,,,,,,,,,,
4,person:5,364.0,594,537,1076.0,0,96.0,,,,,,,,,,
5,motorcycle:6,384.0,548,534,1091.0,96,0.0,,,,,,,,,,
0,car:1,0.0,938,904,717.0,362,388.0,,,,,,,,,,
1,motorcycle:2,938.0,0,259,1642.0,604,550.0,,,,,,,,,,
2,person:3,904.0,259,0,1621.0,542,537.0,,,,,,,,,,
3,car:4,717.0,1642,1621,0.0,1078,1098.0,,,,,,,,,,
4,person:5,362.0,604,542,1078.0,0,110.0,,,,,,,,,,
